Time,Protocol,Average Delay (s),Loss Rate (%),Average Load
0.0,V2V,0.0,100.0,0.0
0.0,V2I,0.0,100.0,0.0
1.0,V2V,0.0,100.0,0.0
1.0,V2I,0.0,100.0,0.0
2.0,V2V,0.0,100.0,0.0
2.0,V2I,0.0,100.0,0.0
3.0,V2V,0.0,100.0,0.0
3.0,V2I,0.0,100.0,0.0
4.0,V2V,0.0,100.0,0.0
4.0,V2I,0.0,100.0,0.0
5.0,V2V,0.0,100.0,0.0
5.0,V2I,0.0,100.0,0.0
6.0,V2V,0.0,100.0,0.0
6.0,V2I,0.0,100.0,0.0
7.0,V2V,0.0,100.0,0.0
7.0,V2I,0.0,100.0,0.0
8.0,V2V,0.0,100.0,0.0
8.0,V2I,0.0,100.0,0.0
9.0,V2V,0.0,100.0,0.0
9.0,V2I,0.0,100.0,0.0
10.0,V2V,0.0,100.0,0.0
10.0,V2I,0.0,100.0,0.0
11.0,V2V,0.0,100.0,0.0
11.0,V2I,0.0,100.0,0.0
12.0,V2V,0.0,100.0,0.0
12.0,V2I,0.0,100.0,0.0
13.0,V2V,0.0,100.0,0.0
13.0,V2I,0.0,100.0,0.0
14.0,V2V,0.0,100.0,0.0
14.0,V2I,0.0,100.0,0.0
15.0,V2V,0.0,100.0,0.0
15.0,V2I,0.0,100.0,0.0
16.0,V2V,0.0,100.0,0.0
16.0,V2I,0.0,100.0,0.0
17.0,V2V,0.0,100.0,0.0
17.0,V2I,0.0,100.0,0.0
18.0,V2V,0.0,100.0,0.0
18.0,V2I,0.0,100.0,0.0
19.0,V2V,0.0,100.0,0.0
19.0,V2I,0.0,100.0,0.0
20.0,V2V,0.1,50.0,0.102
20.0,V2I,1.0037,0.0,0.042
21.0,V2V,0.1,50.0,0.102
21.0,V2I,1.0033,0.0,0.042
22.0,V2V,0.1,50.0,0.102
22.0,V2I,1.0051,0.0,0.042
23.0,V2V,0.1,50.0,0.102
23.0,V2I,1.0033,0.0,0.042
24.0,V2V,0.1,50.0,0.102
24.0,V2I,1.0034,0.0,0.042
25.0,V2V,0.1,50.0,0.102
25.0,V2I,1.0049,0.0,0.042
26.0,V2V,0.1,50.0,0.102
26.0,V2I,1.0039,0.0,0.042
27.0,V2V,0.1,50.0,0.102
27.0,V2I,1.0026,0.0,0.042
28.0,V2V,0.1,50.0,0.102
28.0,V2I,1.0035,0.0,0.042
29.0,V2V,0.1,50.0,0.102
29.0,V2I,1.0029,0.0,0.042
30.0,V2V,0.1,50.0,0.102
30.0,V2I,1.0052,0.0,0.042
31.0,V2V,0.1,50.0,0.102
31.0,V2I,1.0033,0.0,0.042
32.0,V2V,0.1,50.0,0.102
32.0,V2I,1.0029,0.0,0.042
33.0,V2V,0.1,50.0,0.102
33.0,V2I,1.0047,0.0,0.042
34.0,V2V,0.1,50.0,0.102
34.0,V2I,1.0052,0.0,0.042
35.0,V2V,0.1,50.0,0.102
35.0,V2I,1.0042,0.0,0.042
36.0,V2V,0.1,50.0,0.102
