Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
1.0,V2I,0.5,0.0,1.0,97.73006497490934,100.0,50.0
4.0,V2I,inf,100.0,1.0,91.4948435705532,100.0,40.0
10.0,V2I,0.5,0.0,1.0,60.36350304612879,100.0,25.0
11.0,V2I,0.5,0.0,1.0,92.66398761115346,100.0,28.57142857142857
14.0,V2I,inf,100.0,1.0,38.13989512308601,100.0,25.0
19.0,V2I,0.5,0.0,1.0,15.729971392218106,100.0,20.0
21.0,V2I,0.5,0.0,1.0,3.8716404791767536,100.0,20.588235294117645
22.0,V2I,0.5,0.0,1.0,7.627509423134133,100.0,22.22222222222222
23.0,V2I,0.5,0.0,1.0,12.624377212361804,100.0,23.684210526315788
24.0,V2I,0.5,0.0,1.0,5.4201937234752045,100.0,25.0
26.0,V2I,0.5,0.0,1.0,28.719338432491792,100.0,25.0
28.0,V2I,0.75,0.0,1.0,39.68286909990254,100.0,25.0
29.0,V2I,0.5,0.0,1.0,45.33125191300147,100.0,26.0
31.0,V2I,0.5,0.0,1.0,56.23186018619693,100.0,25.925925925925924
33.0,V2I,0.5,0.0,1.0,21.449757574387643,100.0,25.862068965517242
35.0,V2I,0.5,0.0,1.0,4.141545605205863,100.0,25.806451612903224
37.0,V2I,0.5,0.0,1.0,89.55646486993555,100.0,25.757575757575758
38.0,V2I,0.5,0.0,1.0,41.75066945571053,100.0,26.47058823529412
41.0,V2I,inf,100.0,1.0,97.2903818473337,100.0,25.675675675675674
44.0,V2I,0.5,0.0,1.0,87.45830092106752,100.0,25.0
49.0,V2I,0.5,0.0,1.0,58.626871825128106,100.0,23.333333333333332
50.0,V2I,0.5,0.0,1.0,98.36960912802287,100.0,23.91304347826087
53.0,V2I,0.5,0.0,1.0,92.51401839721373,100.0,23.46938775510204
57.0,V2I,0.5,0.0,1.0,11.510864433221338,100.0,22.641509433962266
58.0,V2I,0.5,0.0,1.0,68.71967985955698,100.0,23.14814814814815
60.0,V2I,0.75,0.0,1.0,98.36960912802287,100.0,23.214285714285715
63.0,V2I,0.5,0.0,1.0,67.53771020811865,100.0,23.728813559322035
66.0,V2I,0.75,0.0,1.0,26.648116256125874,100.0,23.387096774193548
67.0,V2I,0.5,0.0,1.0,48.0329693926516,100.0,24.6031746031746
69.0,V2I,0.5,0.0,1.0,65.05530339641804,100.0,24.615384615384617
73.0,V2I,0.5,0.0,1.0,83.96486705759737,100.0,23.91304347826087
74.0,V2I,inf,100.0,1.0,15.255490814785345,100.0,24.285714285714285
83.0,V2I,0.5,0.0,1.0,8.830067949908425,100.0,22.151898734177212
84.0,V2I,0.5,0.0,1.0,8.830067949908425,100.0,22.5
85.0,V2I,0.5,0.0,1.0,72.2248357561303,100.0,22.839506172839506
89.0,V2I,0.625,0.0,1.0,49.00049882838712,100.0,22.941176470588236
95.0,V2I,0.5,0.0,1.0,64.23664763980136,100.0,21.978021978021978
102.0,V2I,0.5,0.0,1.0,87.71477697628832,100.0,20.918367346938776
107.0,V2I,0.625,0.0,1.0,37.1412286666428,100.0,20.87378640776699
111.0,V2I,0.5,0.0,1.0,11.789079692664732,100.0,20.5607476635514
113.0,V2I,0.75,0.0,1.0,37.554099643048296,100.0,20.642201834862387
127.0,V2I,0.5,0.0,1.0,85.39499048539089,100.0,19.491525423728813
