Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
0.0,V2V,0.1,0.0,1.0,0.0,100.0,100.0
2.0,V2V,0.1,0.0,1.0,0.7999999999999972,100.0,66.66666666666666
3.0,V2V,0.1,0.0,1.0,0.480000000000004,100.0,75.0
5.0,V2V,0.1,0.0,1.0,0.1700000000000017,100.0,66.66666666666666
6.0,V2V,0.1,0.0,1.0,0.4100000000000108,100.0,71.42857142857143
8.0,V2V,0.1,0.0,1.0,0.9899999999999949,100.0,66.66666666666666
9.0,V2V,0.15000000000000002,0.0,1.0,1.4000000000000057,100.0,70.0
10.0,V2V,0.1,0.0,1.0,1.740000000000002,100.0,66.66666666666666
11.0,V2V,0.1,0.0,1.0,1.0300000000000047,100.0,71.42857142857143
12.0,V2V,0.1,0.0,1.0,1.2250000000000014,100.0,75.0
13.0,V2V,0.1,0.0,1.0,1.7800000000000011,100.0,72.22222222222221
14.0,V2V,0.1,0.0,1.0,0.8599999999999994,100.0,70.0
15.0,V2V,0.1,0.0,1.0,2.4690715688157265,100.0,72.72727272727273
16.0,V2V,0.1,0.0,1.0,2.5026283748151137,100.0,75.0
17.0,V2V,inf,100.0,1.0,5.359999999999999,100.0,73.07692307692307
19.0,V2V,0.1,50.0,1.0,1.755008650493138,100.0,70.0
20.0,V2V,0.15000000000000002,0.0,1.0,1.5500000000000007,100.0,68.75
21.0,V2V,0.1,0.0,1.0,0.5227635109686661,100.0,70.58823529411765
22.0,V2V,0.1,0.0,1.0,1.1955862138431186,100.0,72.22222222222221
23.0,V2V,0.1,0.0,1.0,2.1359073013593077,100.0,71.05263157894737
24.0,V2V,0.1,0.0,1.0,2.2730816087417542,100.0,70.0
25.0,V2V,0.1,0.0,1.0,1.5899999999999999,100.0,71.42857142857143
26.0,V2V,0.1,0.0,1.0,2.1700000000000017,100.0,70.45454545454545
27.0,V2V,0.1,0.0,1.0,1.464999999999998,100.0,71.73913043478261
28.0,V2V,0.1,0.0,1.0,1.3699999999999974,100.0,70.83333333333334
29.0,V2V,0.125,0.0,1.0,0.6300000000000026,100.0,72.0
30.0,V2V,inf,100.0,1.0,0.44999999999998863,100.0,71.15384615384616
31.0,V2V,0.1,0.0,1.0,0.6299999999999955,100.0,70.37037037037037
32.0,V2V,0.1,0.0,1.0,1.0749999999999957,100.0,71.42857142857143
33.0,V2V,0.1,0.0,1.0,2.1377558326431956,100.0,70.6896551724138
34.0,V2V,0.1,0.0,1.0,1.4669349409849983,100.0,71.66666666666667
35.0,V2V,0.1,0.0,1.0,1.0153008421240908,100.0,72.58064516129032
36.0,V2V,0.1,0.0,1.0,2.1700000000000017,100.0,71.875
37.0,V2V,0.1,0.0,1.0,1.520000000000005,100.0,72.72727272727273
38.0,V2V,inf,100.0,1.0,1.9500000000000028,100.0,72.05882352941177
39.0,V2V,0.1,0.0,1.0,1.8900000000000006,100.0,71.42857142857143
40.0,V2V,0.1,0.0,1.0,0.22499999999999432,100.0,72.22222222222221
41.0,V2V,0.1,0.0,1.0,0.07000000000000739,100.0,71.62162162162163
42.0,V2V,0.1,0.0,1.0,0.9450000000000003,100.0,72.36842105263158
43.0,V2V,0.1,50.0,1.0,0.6538646504963983,100.0,73.07692307692307
44.0,V2V,0.1,0.0,1.0,3.22490309931942,100.0,72.5
45.0,V2V,0.1,50.0,1.0,1.9138007490635116,100.0,73.17073170731707
46.0,V2V,0.1,0.0,1.0,2.046864249094524,100.0,73.80952380952381
47.0,V2V,0.1,0.0,1.0,2.4830643852752834,100.0,74.4186046511628
