Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
0.0,V2V,0.1,0.0,1.0,0.5349999999999966,100.0,100.0,2,2
1.0,V2V,0.1,0.0,1.0,0.7199999999999918,100.0,100.0,2,2
2.0,V2V,0.1,0.0,1.0,0.9600000000000009,100.0,100.0,2,2
3.0,V2V,0.1,0.0,1.0,0.8250000000000028,100.0,100.0,2,2
4.0,V2V,0.1,0.0,1.0,0.7450217387195002,100.0,100.0,2,2
5.0,V2V,0.1,0.0,1.0,0.692499999999999,100.0,100.0,4,4
6.0,V2V,0.11250000000000002,0.0,1.0,0.7950000000000017,100.0,100.0,4,4
7.0,V2V,0.1,0.0,1.0,0.9118362879187323,100.0,100.0,4,4
8.0,V2V,0.11666666666666668,0.0,1.0,0.9166666666666666,100.0,96.0,3,4
8.0,V2I,0.5,0.0,1.0,65.68690889362962,100.0,4.0,1,4
9.0,V2V,0.1,0.0,1.0,0.8588121646817852,100.0,96.55172413793103,4,4
10.0,V2V,0.09999999999999999,14.285714285714285,1.0,0.6467766521088245,100.0,97.22222222222221,6,7
11.0,V2V,0.09999999999999999,14.285714285714285,1.0,0.7015775980880683,100.0,97.67441860465115,6,7
12.0,V2V,0.10714285714285712,0.0,1.0,0.8461650283025316,100.0,98.0,7,7
13.0,V2V,0.10714285714285712,0.0,1.0,0.9228721743234526,100.0,98.21428571428571,7,7
14.0,V2V,0.09999999999999999,0.0,1.0,0.7865063610127869,100.0,98.4126984126984,7,7
15.0,V2V,0.09999999999999999,0.0,1.0,0.8478718241787986,100.0,98.57142857142858,7,7
16.0,V2V,0.10833333333333334,14.285714285714285,1.0,0.887618116777488,100.0,98.7012987012987,6,7
17.0,V2V,0.10714285714285714,0.0,1.0,0.7914341084439496,100.0,98.80952380952381,7,7
18.0,V2V,0.1,28.57142857142857,1.0,0.6810375838294134,100.0,98.9010989010989,5,7
19.0,V2V,0.1,16.666666666666664,1.0,0.7736134871105159,100.0,97.95918367346938,5,7
19.0,V2I,0.5,0.0,1.0,12.37070733628437,100.0,2.0408163265306123,1,7
20.0,V2V,0.11000000000000001,28.57142857142857,1.0,0.8000000000000025,100.0,97.16981132075472,5,8
20.0,V2I,0.5,0.0,1.0,12.08912321055584,100.0,2.8301886792452833,1,8
21.0,V2V,0.10714285714285714,0.0,1.0,0.7430032907365104,100.0,96.46017699115043,7,8
21.0,V2I,0.5,0.0,1.0,69.77400232178171,100.0,3.5398230088495577,1,8
22.0,V2V,0.09999999999999999,14.285714285714285,1.0,0.7660513683195056,100.0,95.86776859504133,6,8
22.0,V2I,0.5,0.0,1.0,17.26170327632821,100.0,4.132231404958678,1,8
23.0,V2V,0.09999999999999999,0.0,1.0,0.7486641264423105,100.0,96.12403100775194,8,8
24.0,V2V,0.09999999999999999,25.0,1.0,0.856258205125078,100.0,96.35036496350365,6,8
25.0,V2V,0.10624999999999998,0.0,1.0,0.5664525830571728,100.0,95.23809523809523,8,10
25.0,V2I,0.5,0.0,1.0,69.13391858061524,100.0,4.761904761904762,2,10
26.0,V2V,0.09999999999999999,10.0,1.0,0.8596045840673646,100.0,95.54140127388536,9,10
27.0,V2V,0.10500000000000001,0.0,1.0,0.878678787077488,100.0,95.80838323353294,10,10
28.0,V2V,0.10625,11.11111111111111,1.0,1.0426754706054275,100.0,95.48022598870057,8,10
28.0,V2I,0.5,0.0,1.0,78.13236525281953,100.0,4.519774011299435,1,10
29.0,V2V,0.10555555555555554,10.0,1.0,1.101164546614188,100.0,95.72192513368985,9,10
30.0,V2V,0.09999999999999999,0.0,1.0,1.0371771985993135,100.0,95.47738693467338,11,12
30.0,V2I,0.5,0.0,1.0,75.62738194595923,100.0,4.522613065326634,1,12
31.0,V2V,0.09999999999999999,0.0,1.0,1.011338445747639,100.0,94.7867298578199,10,12
