Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
0.0,V2V,0.1,0.0,1.0,0.0,100.0,100.0,1,1
1.0,V2V,0.1,0.0,1.0,0.36999999999999034,100.0,100.0,1,1
2.0,V2V,0.1,0.0,1.0,0.7999999999999972,100.0,100.0,1,1
3.0,V2V,0.1,0.0,1.0,0.480000000000004,100.0,100.0,1,1
4.0,V2V,0.1,0.0,1.0,0.3400000000000034,100.0,100.0,1,1
5.0,V2V,0.1,0.0,1.0,0.1700000000000017,100.0,100.0,1,1
6.0,V2V,0.1,0.0,1.0,0.4100000000000108,100.0,100.0,1,1
7.0,V2V,0.1,0.0,1.0,0.8599999999999994,100.0,100.0,1,1
8.0,V2V,0.1,0.0,1.0,0.9899999999999949,100.0,100.0,1,1
9.0,V2V,0.1,0.0,1.0,1.4000000000000057,100.0,100.0,1,1
10.0,V2V,0.1,0.0,1.0,0.870000000000001,100.0,100.0,2,2
11.0,V2V,0.1,0.0,1.0,1.0300000000000047,100.0,100.0,2,2
12.0,V2V,0.1,0.0,1.0,1.2250000000000014,100.0,100.0,2,2
13.0,V2V,0.1,0.0,1.0,1.5749999999999993,100.0,100.0,2,2
14.0,V2V,0.1,0.0,1.0,1.7800000000000011,100.0,100.0,2,2
15.0,V2V,0.125,0.0,1.0,2.4690715688157265,100.0,100.0,2,2
16.0,V2V,0.15000000000000002,50.0,1.0,2.5026283748151137,100.0,100.0,1,2
17.0,V2V,0.1,0.0,1.0,2.7049999999999983,100.0,100.0,2,2
18.0,V2V,0.1,50.0,1.0,2.2400059101572274,100.0,100.0,1,2
19.0,V2V,0.125,0.0,1.0,1.755008650493138,100.0,100.0,2,2
20.0,V2V,0.1,50.0,1.0,0.8900000000000001,100.0,100.0,1,2
21.0,V2V,0.1,0.0,1.0,0.5227635109686661,100.0,100.0,2,2
22.0,V2V,0.1,50.0,1.0,1.1955862138431186,100.0,100.0,1,2
23.0,V2V,0.1,50.0,1.0,1.2200227139371091,100.0,100.0,1,2
24.0,V2V,0.125,0.0,1.0,1.7830119947575795,100.0,100.0,2,2
25.0,V2V,0.1,0.0,1.0,1.5899999999999999,100.0,100.0,2,2
26.0,V2V,0.1,0.0,1.0,2.0,100.0,100.0,2,2
27.0,V2V,0.1,0.0,1.0,1.464999999999998,100.0,100.0,2,2
28.0,V2V,0.1,0.0,1.0,1.375,100.0,100.0,2,2
29.0,V2V,0.125,0.0,1.0,0.6300000000000026,100.0,100.0,2,2
30.0,V2V,0.1,0.0,1.0,0.5349999999999966,100.0,100.0,2,2
31.0,V2V,0.1,50.0,1.0,0.4549999999999983,100.0,100.0,1,2
32.0,V2V,0.125,0.0,1.0,1.0749999999999957,100.0,100.0,2,2
33.0,V2V,0.1,0.0,1.0,0.5600000000000023,100.0,98.27586206896551,1,2
34.0,V2V,0.1,0.0,1.0,2.4438698819699876,100.0,96.66666666666667,1,2
35.0,V2V,0.15000000000000002,50.0,1.0,1.0153008421240908,100.0,96.7741935483871,1,2
36.0,V2V,0.1,0.0,1.0,1.5350000000000037,100.0,96.875,2,2
37.0,V2V,0.1,0.0,1.0,1.520000000000005,100.0,96.96969696969697,2,2
38.0,V2V,0.1,50.0,1.0,2.0950000000000024,100.0,97.05882352941177,1,2
39.0,V2V,0.1,50.0,1.0,0.9500000000000002,100.0,97.14285714285714,1,2
40.0,V2V,0.1,0.0,1.0,0.22499999999999432,100.0,97.22222222222221,2,2
41.0,V2V,0.1,0.0,1.0,0.3500000000000014,100.0,97.2972972972973,2,2
42.0,V2V,0.1,0.0,1.0,0.9450000000000003,100.0,97.36842105263158,2,2
43.0,V2V,0.1,0.0,1.0,0.3400000000000034,100.0,96.15384615384616,1,2
44.0,V2V,0.1,0.0,1.0,1.697451549659711,100.0,96.25,2,2
45.0,V2V,0.1,50.0,1.0,1.9138007490635116,100.0,96.34146341463415,1,2
46.0,V2V,0.1,0.0,1.0,2.046864249094524,100.0,96.42857142857143,2,2
47.0,V2V,0.1,0.0,1.0,2.4830643852752834,100.0,96.51162790697676,2,2
48.0,V2V,0.1,0.0,1.0,4.625256749630228,100.0,95.45454545454545,1,2
49.0,V2V,0.1,50.0,1.0,2.2740715688157245,100.0,95.55555555555556,1,2
50.0,V2V,0.1,0.0,1.0,0.33999999999999986,100.0,95.65217391304348,2,2
51.0,V2V,0.1,0.0,1.0,0.7150000000000034,100.0,95.74468085106383,2,2
52.0,V2V,0.1,0.0,1.0,1.1350000000000016,100.0,95.83333333333334,2,2
53.0,V2V,0.1,50.0,1.0,1.3549999999999969,100.0,95.91836734693877,1,2
54.0,V2V,0.1,0.0,1.0,1.8050000000000015,100.0,96.0,2,2
55.0,V2V,0.1,50.0,1.0,1.8999999999999968,100.0,96.07843137254902,1,2
56.0,V2V,0.1,0.0,1.0,1.7899999999999965,100.0,96.15384615384616,2,2
57.0,V2V,0.1,0.0,1.0,1.1750000000000016,100.0,96.22641509433963,2,2
58.0,V2V,0.1,0.0,1.0,0.9149999999999969,100.0,96.29629629629629,2,2
59.0,V2V,0.1,0.0,1.0,0.5600000000000012,100.0,96.36363636363636,2,2
60.0,V2V,0.1,0.0,1.0,0.8249999999999993,100.0,96.42857142857143,2,2
61.0,V2V,0.1,0.0,1.0,0.9100000000000001,100.0,96.49122807017544,2,2
62.0,V2V,0.1,0.0,1.0,1.8400000000000034,100.0,95.6896551724138,1,2
63.0,V2V,0.1,0.0,1.0,2.0799999999999947,100.0,95.76271186440678,2,2
64.0,V2V,0.125,0.0,1.0,2.2749999999999986,100.0,95.83333333333334,2,2
65.0,V2V,0.1,0.0,1.0,2.765000000000006,100.0,95.90163934426229,2,2
66.0,V2V,0.125,0.0,1.0,2.530000000000003,100.0,95.96774193548387,2,2
67.0,V2V,0.1,0.0,1.0,2.365000000000002,100.0,96.03174603174604,2,2
68.0,V2V,0.1,50.0,1.0,2.5049999999999955,100.0,96.09375,1,2
69.0,V2V,0.1,0.0,1.0,2.6450000000000005,100.0,96.15384615384616,2,2
70.0,V2V,0.1,0.0,1.0,1.5400324671902277,100.0,95.45454545454545,1,2
71.0,V2V,0.1,50.0,1.0,1.2538808840915103,100.0,95.52238805970148,1,2
72.0,V2V,0.1,50.0,1.0,2.43801225103362,100.0,95.58823529411765,1,2
73.0,V2V,0.1,0.0,1.0,4.098446048578224,100.0,95.65217391304348,2,2
74.0,V2V,0.15000000000000002,0.0,1.0,2.5238858928247927,100.0,95.0,1,2
75.0,V2V,0.1,0.0,1.0,6.001344582967546,100.0,95.07042253521126,2,2
76.0,V2V,0.1,0.0,1.0,6.905002145922351,100.0,95.13888888888889,2,2
77.0,V2V,0.1,0.0,1.0,7.385001931993528,100.0,95.2054794520548,2,2
78.0,V2V,0.1,0.0,1.0,5.525002631578217,100.0,95.27027027027027,2,2
79.0,V2V,0.1,0.0,1.0,3.4850044722683373,100.0,95.33333333333334,2,2
80.0,V2V,0.1,50.0,1.0,2.0300000000000002,100.0,95.39473684210526,1,2
81.0,V2V,0.1,0.0,1.0,0.3500000000000023,100.0,95.45454545454545,2,2
82.0,V2V,0.1,0.0,1.0,0.14500000000000046,100.0,95.51282051282051,2,2
83.0,V2V,0.1,0.0,1.0,0.09499999999999886,100.0,95.56962025316456,2,2
84.0,V2V,0.1,0.0,1.0,0.28000000000000114,100.0,95.625,2,2
85.0,V2V,0.1,0.0,1.0,0.24500000000000455,100.0,95.67901234567901,2,2
86.0,V2V,0.1,0.0,1.0,0.4750000000000014,100.0,95.73170731707317,2,2
87.0,V2V,0.1,50.0,1.0,0.6908318915758485,100.0,95.78313253012048,1,2
88.0,V2V,0.1,0.0,1.0,1.070831891575851,100.0,95.83333333333334,2,2
89.0,V2V,0.1,50.0,1.0,2.458618886372105,100.0,95.88235294117648,1,2
90.0,V2V,0.1,0.0,1.0,3.3117033251611794,100.0,95.93023255813954,2,2
91.0,V2V,0.1,0.0,1.0,3.689068599280539,100.0,95.97701149425288,2,2
92.0,V2V,0.1,0.0,1.0,5.019999999999996,100.0,95.45454545454545,1,2
93.0,V2V,0.1,0.0,1.0,3.0636661922551736,100.0,95.50561797752809,2,2
95.0,V2V,0.125,0.0,1.0,2.9449999999999985,100.0,94.5054945054945,2,2
96.0,V2V,0.1,0.0,1.0,2.1008569680013918,100.0,94.56521739130434,2,2
97.0,V2V,0.1,0.0,1.0,2.5865227623200946,100.0,94.08602150537635,1,2
98.0,V2V,0.1,50.0,1.0,3.8230298414555794,100.0,94.14893617021278,1,2
99.0,V2V,0.1,0.0,1.0,1.9632613811600454,100.0,94.21052631578948,2,2
100.0,V2V,0.1,50.0,1.0,1.050761628534274,100.0,94.27083333333334,1,2
101.0,V2V,0.1,0.0,1.0,1.1850119046944234,100.0,94.30051813471503,2,2
102.0,V2V,0.125,0.0,1.0,1.516232183435611,100.0,94.35897435897435,2,2
103.0,V2V,0.1,0.0,1.0,1.94475115548645,100.0,94.41624365482234,2,2
104.0,V2V,0.125,0.0,1.0,2.402330746486105,100.0,94.47236180904522,2,2
105.0,V2V,0.1,0.0,1.0,3.125761628534277,100.0,94.5273631840796,2,2
106.0,V2V,0.1,0.0,1.0,3.044899282503798,100.0,94.58128078817734,2,2
107.0,V2V,0.1,0.0,1.0,2.668303738556472,100.0,94.6341463414634,2,2
108.0,V2V,0.1,0.0,1.0,2.8849810073572772,100.0,94.68599033816425,2,2
109.0,V2V,0.1,0.0,1.0,2.1309638433362017,100.0,94.73684210526315,2,2
110.0,V2V,0.1,0.0,1.0,1.332338099273101,100.0,94.7867298578199,2,2
111.0,V2V,0.1,0.0,1.0,1.0199999999999996,100.0,94.36619718309859,1,2
112.0,V2V,0.1,0.0,1.0,1.2572943686325266,100.0,94.41860465116278,2,2
113.0,V2V,0.1,50.0,1.0,0.837069063257454,100.0,94.47004608294931,1,2
114.0,V2V,0.1,0.0,1.0,0.4248332406377191,100.0,94.52054794520548,2,2
115.0,V2V,0.1,50.0,1.0,0.6130277563773223,100.0,94.57013574660633,1,2
116.0,V2V,0.1,0.0,1.0,0.705000000000003,100.0,94.61883408071749,2,2
117.0,V2V,0.1,0.0,1.0,0.75,100.0,94.66666666666667,2,2
118.0,V2V,0.1,0.0,1.0,0.0,100.0,94.69026548672566,1,1
119.0,V2V,0.0,100.0,1.0,1.0806016842481785,100.0,94.7136563876652,0,1
120.0,V2V,0.15000000000000002,0.0,1.0,2.22,100.0,94.73684210526315,1,1
121.0,V2V,0.1,0.0,1.0,1.7200000000000006,100.0,94.75982532751091,1,1
122.0,V2V,0.1,0.0,1.0,2.2926840166058637,100.0,94.78260869565217,1,1
123.0,V2V,0.1,0.0,1.0,2.2699999999999996,100.0,94.8051948051948,1,1
124.0,V2V,0.1,0.0,1.0,2.240000000000002,100.0,94.82758620689656,1,1
125.0,V2V,0.1,0.0,1.0,2.475095957735782,100.0,94.84978540772532,1,1
126.0,V2V,0.15000000000000002,0.0,1.0,2.1456001491424255,100.0,94.87179487179486,1,1
127.0,V2V,0.1,0.0,1.0,2.670674072214723,100.0,94.8936170212766,1,1
128.0,V2V,0.0,100.0,1.0,2.380000000000002,100.0,94.91525423728814,0,1
