Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
0.0,V2V,0.15000000000000002,0.0,1.0,0.0,100.0,100.0
1.0,V2V,0.1,0.0,1.0,0.36999999999999034,100.0,100.0
2.0,V2V,0.1,0.0,1.0,0.7999999999999972,100.0,100.0
3.0,V2I,0.5,0.0,1.0,88.69195059304987,100.0,25.0
4.0,V2V,0.1,0.0,1.0,0.3400000000000034,100.0,80.0
5.0,V2I,0.5,0.0,1.0,81.47373810007737,100.0,33.33333333333333
6.0,V2V,0.1,0.0,1.0,0.4100000000000108,100.0,71.42857142857143
7.0,V2I,0.5,0.0,1.0,71.23105291935534,100.0,37.5
8.0,V2V,0.1,0.0,1.0,0.9899999999999949,100.0,66.66666666666666
9.0,V2V,0.1,0.0,1.0,1.4000000000000057,100.0,70.0
10.0,V2V,0.1,0.0,1.0,0.0,100.0,63.63636363636363
10.0,V2I,0.75,0.0,1.0,54.94414982507237,100.0,36.36363636363637
11.0,V2V,0.1,0.0,1.0,1.0300000000000047,100.0,69.23076923076923
12.0,V2V,0.1,0.0,1.0,1.6099999999999994,100.0,66.66666666666666
12.0,V2I,0.5,0.0,1.0,97.08859871272219,100.0,33.33333333333333
13.0,V2V,0.1,0.0,1.0,1.7800000000000011,100.0,64.70588235294117
13.0,V2I,0.5,0.0,1.0,38.93321075893947,100.0,35.294117647058826
14.0,V2V,0.0,100.0,1.0,2.700000000000003,100.0,63.1578947368421
14.0,V2I,0.5,0.0,1.0,33.53255880483922,100.0,36.84210526315789
15.0,V2V,0.125,0.0,1.0,2.4690715688157265,100.0,66.66666666666666
16.0,V2I,0.625,0.0,1.0,42.10195698919992,100.0,39.130434782608695
17.0,V2V,0.1,0.0,1.0,0.04999999999999716,100.0,60.0
17.0,V2I,0.5,0.0,1.0,47.94857453564183,100.0,40.0
18.0,V2V,0.1,0.0,1.0,2.2400059101572274,100.0,62.96296296296296
19.0,V2I,0.5,0.0,1.0,18.805473517018424,100.0,41.37931034482759
20.0,V2V,0.1,0.0,1.0,0.22999999999999954,100.0,58.06451612903226
20.0,V2I,0.5,0.0,1.0,20.541521365273802,100.0,41.935483870967744
21.0,V2V,0.125,0.0,1.0,0.5227635109686661,100.0,60.60606060606061
22.0,V2V,0.1,0.0,1.0,2.22,100.0,60.0
22.0,V2I,0.5,0.0,1.0,17.26170327632821,100.0,40.0
23.0,V2V,0.1,0.0,1.0,1.2200227139371091,100.0,62.16216216216216
24.0,V2I,0.5,0.0,1.0,21.276765499836905,100.0,41.02564102564102
25.0,V2I,0.5,0.0,1.0,25.9260610358079,100.0,43.90243902439025
26.0,V2V,0.1,0.0,1.0,2.0,100.0,58.139534883720934
27.0,V2V,0.1,0.0,1.0,1.5499999999999972,100.0,57.77777777777777
27.0,V2I,0.5,0.0,1.0,35.912985116806986,100.0,42.22222222222222
28.0,V2V,0.1,0.0,1.0,1.375,100.0,59.57446808510638
29.0,V2V,0.1,0.0,1.0,0.6300000000000026,100.0,61.224489795918366
30.0,V2V,0.1,0.0,1.0,0.5349999999999966,100.0,62.745098039215684
31.0,V2V,0.1,0.0,1.0,0.4549999999999983,100.0,64.15094339622641
32.0,V2V,0.1,50.0,1.0,1.0749999999999957,100.0,65.45454545454545
33.0,V2V,0.1,0.0,1.0,0.5600000000000023,100.0,64.91228070175438
33.0,V2I,0.5,0.0,1.0,17.733820795305224,100.0,35.08771929824561
34.0,V2V,0.1,0.0,1.0,2.4438698819699876,100.0,64.40677966101694
34.0,V2I,0.5,0.0,1.0,80.1186800939706,100.0,35.59322033898305
35.0,V2I,0.5,0.0,1.0,50.09509009208425,100.0,37.704918032786885
36.0,V2V,0.1,0.0,1.0,2.1700000000000017,100.0,61.904761904761905
36.0,V2I,0.5,0.0,1.0,91.12039069275329,100.0,38.095238095238095
37.0,V2V,0.1,0.0,1.0,1.520000000000005,100.0,63.07692307692307
38.0,V2V,0.1,0.0,1.0,2.0950000000000024,100.0,63.63636363636363
39.0,V2V,0.1,0.0,1.0,0.9500000000000002,100.0,64.70588235294117
40.0,V2V,0.1,0.0,1.0,0.22499999999999432,100.0,65.71428571428571
41.0,V2V,0.1,0.0,1.0,0.3500000000000014,100.0,66.66666666666666
42.0,V2V,0.1,0.0,1.0,1.5,100.0,66.21621621621621
42.0,V2I,0.5,0.0,1.0,89.16763370192125,100.0,33.78378378378378
43.0,V2V,0.125,0.0,1.0,0.6538646504963983,100.0,67.10526315789474
44.0,V2V,0.1,0.0,1.0,0.1700000000000017,100.0,66.66666666666666
44.0,V2I,0.5,0.0,1.0,21.173391320239652,100.0,33.33333333333333
45.0,V2V,0.1,0.0,1.0,3.4176014981270124,100.0,66.25
45.0,V2I,0.5,0.0,1.0,76.14561116702656,100.0,33.75
46.0,V2V,0.1,0.0,1.0,0.8599999999999994,100.0,65.85365853658537
46.0,V2I,0.5,0.0,1.0,41.65095437081845,100.0,34.146341463414636
47.0,V2V,0.1,0.0,1.0,0.9899999999999949,100.0,65.47619047619048
47.0,V2I,0.5,0.0,1.0,52.61388124820294,100.0,34.523809523809526
48.0,V2V,0.1,0.0,1.0,4.625256749630228,100.0,65.11627906976744
48.0,V2I,0.5,0.0,1.0,58.88496327586526,100.0,34.883720930232556
49.0,V2V,0.1,0.0,1.0,2.2740715688157245,100.0,65.9090909090909
50.0,V2V,0.1,0.0,1.0,0.33999999999999986,100.0,66.66666666666666
51.0,V2V,0.1,0.0,1.0,0.7150000000000034,100.0,67.3913043478261
52.0,V2V,0.1,0.0,1.0,1.1350000000000016,100.0,68.08510638297872
53.0,V2V,0.1,0.0,1.0,1.3549999999999969,100.0,68.75
54.0,V2V,0.1,0.0,1.0,1.8050000000000015,100.0,69.38775510204081
55.0,V2V,0.1,0.0,1.0,1.8999999999999968,100.0,70.0
56.0,V2V,0.1,0.0,1.0,1.7899999999999965,100.0,70.58823529411765
57.0,V2V,0.1,0.0,1.0,1.1750000000000016,100.0,71.15384615384616
58.0,V2V,0.1,0.0,1.0,0.22999999999999954,100.0,70.75471698113208
58.0,V2I,0.5,0.0,1.0,63.14150853440232,100.0,29.245283018867923
59.0,V2V,0.1,0.0,1.0,0.8100000000000023,100.0,70.37037037037037
59.0,V2I,0.5,0.0,1.0,14.372668506578727,100.0,29.629629629629626
60.0,V2V,0.1,0.0,1.0,0.8249999999999993,100.0,70.9090909090909
61.0,V2V,0.1,0.0,1.0,0.9100000000000001,100.0,71.42857142857143
62.0,V2V,0.1,0.0,1.0,1.6000000000000014,100.0,71.9298245614035
63.0,V2V,0.1,50.0,1.0,2.0799999999999947,100.0,72.41379310344827
64.0,V2V,0.1,0.0,1.0,0.8599999999999994,100.0,72.03389830508475
64.0,V2I,0.5,0.0,1.0,95.5560176022421,100.0,27.966101694915253
65.0,V2V,0.1,0.0,1.0,4.63000000000001,100.0,71.66666666666667
65.0,V2I,0.5,0.0,1.0,27.805159593140264,100.0,28.333333333333332
66.0,V2V,0.1,0.0,1.0,0.379999999999999,100.0,71.31147540983606
66.0,V2I,0.75,0.0,1.0,86.11765208132418,100.0,28.688524590163933
67.0,V2V,0.1,50.0,1.0,2.365000000000002,100.0,71.7741935483871
68.0,V2V,0.1,50.0,1.0,2.5049999999999955,100.0,72.22222222222221
69.0,V2V,0.0,100.0,1.0,2.6450000000000005,100.0,72.65625
70.0,V2V,0.0,100.0,1.0,1.5400324671902277,100.0,72.3076923076923
70.0,V2I,0.5,0.0,1.0,11.93551004356328,100.0,27.692307692307693
71.0,V2V,0.1,0.0,1.0,1.5400324671902277,100.0,71.96969696969697
71.0,V2I,0.75,0.0,1.0,13.345096477732934,100.0,28.030303030303028
72.0,V2V,0.1,0.0,1.0,2.43801225103362,100.0,72.38805970149254
73.0,V2I,0.5,0.0,1.0,48.00890697681315,100.0,28.676470588235293
74.0,V2V,0.1,0.0,1.0,5.4419429464123965,100.0,71.73913043478261
75.0,V2V,0.125,0.0,1.0,6.001344582967546,100.0,72.14285714285714
76.0,V2V,0.1,0.0,1.0,2.16,100.0,71.83098591549296
76.0,V2I,0.5,0.0,1.0,46.30619181059915,100.0,28.169014084507044
77.0,V2V,0.1,0.0,1.0,1.8299999999999983,100.0,71.52777777777779
77.0,V2I,0.5,0.0,1.0,32.38927291558117,100.0,28.47222222222222
78.0,V2V,0.1,0.0,1.0,1.5499999999999972,100.0,71.23287671232876
78.0,V2I,0.5,0.0,1.0,19.71570186425023,100.0,28.767123287671232
79.0,V2I,0.5,0.0,1.0,29.89485690336481,100.0,29.72972972972973
80.0,V2V,0.1,0.0,1.0,0.7100000000000009,100.0,70.0
