Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
2.0,V2I,0.5,0.0,1.0,90.59495626137253,100.0,33.33333333333333,1,1
5.0,V2I,0.5,0.0,1.0,81.47373810007737,100.0,33.33333333333333,1,1
7.0,V2I,0.5,0.0,1.0,71.23105291935534,100.0,37.5,1,1
9.0,V2I,0.5,0.0,1.0,60.25674153154982,100.0,40.0,1,1
11.0,V2I,0.5,0.0,1.0,49.69579962129596,100.0,38.46153846153847,1,2
15.0,V2I,0.5,0.0,1.0,28.621161751403456,100.0,28.57142857142857,1,2
16.0,V2I,0.5,0.0,1.0,23.410160187405808,100.0,30.434782608695656,1,2
17.0,V2I,0.5,0.0,1.0,47.94857453564183,100.0,32.0,1,2
18.0,V2I,0.5,0.0,1.0,14.794394208618343,100.0,33.33333333333333,1,2
20.0,V2I,0.5,0.0,1.0,20.541521365273802,100.0,32.25806451612903,1,2
21.0,V2I,0.5,0.0,1.0,14.201144320089137,100.0,33.33333333333333,1,2
22.0,V2I,0.5,0.0,1.0,17.546685867219736,100.0,37.142857142857146,2,2
23.0,V2I,0.5,0.0,1.0,22.148417550696482,100.0,37.83783783783784,1,2
24.0,V2I,0.5,0.0,1.0,21.276765499836905,100.0,41.02564102564102,2,2
25.0,V2I,0.0,100.0,1.0,25.9260610358079,100.0,43.90243902439025,0,2
26.0,V2I,0.5,0.0,1.0,32.05968143689686,100.0,46.51162790697674,2,2
28.0,V2I,0.5,0.0,1.0,47.63049863270382,100.0,44.680851063829785,1,2
29.0,V2I,0.5,0.0,1.0,53.13957188386071,100.0,44.89795918367347,1,2
32.0,V2I,0.625,0.0,1.0,84.67419248164575,100.0,43.63636363636363,2,2
34.0,V2I,0.5,0.0,1.0,80.1186800939706,100.0,42.3728813559322,1,2
40.0,V2I,0.75,0.0,1.0,92.45899685806677,100.0,36.61971830985916,1,2
41.0,V2I,0.75,0.0,1.0,85.53327364248372,100.0,36.986301369863014,1,2
44.0,V2I,0.5,0.0,1.0,21.173391320239652,100.0,35.44303797468354,1,2
47.0,V2I,0.5,0.0,1.0,64.71353876894695,100.0,34.11764705882353,1,2
49.0,V2I,0.5,0.0,1.0,74.45078911603288,100.0,33.70786516853933,1,2
51.0,V2I,0.5,0.0,1.0,66.44173829573856,100.0,34.40860215053764,2,2
52.0,V2I,0.5,0.0,1.0,62.703334563397746,100.0,35.78947368421053,2,2
55.0,V2I,0.5,0.0,1.0,78.48736458819343,100.0,34.65346534653465,1,2
57.0,V2I,0.5,0.0,1.0,12.649667979832513,100.0,34.285714285714285,1,2
64.0,V2I,0.5,0.0,1.0,32.72995722575879,100.0,31.092436974789916,1,2
70.0,V2I,0.5,0.0,1.0,11.93551004356328,100.0,29.00763358778626,1,2
71.0,V2I,0.5,0.0,1.0,85.30783082460836,100.0,29.32330827067669,1,2
72.0,V2I,0.5,0.0,1.0,16.21203565256381,100.0,29.629629629629626,1,2
75.0,V2I,0.75,0.0,1.0,29.4237676037587,100.0,29.078014184397162,1,2
76.0,V2I,0.5,0.0,1.0,34.00984563328684,100.0,29.37062937062937,1,2
78.0,V2I,0.5,0.0,1.0,43.73026869343475,100.0,29.25170068027211,1,2
82.0,V2I,0.5,0.0,1.0,64.1140390242262,100.0,28.387096774193548,1,2
83.0,V2I,0.5,0.0,1.0,69.3190745754731,100.0,28.662420382165603,1,2
84.0,V2I,0.5,0.0,1.0,74.33864674582124,100.0,28.930817610062892,1,2
88.0,V2I,0.5,0.0,1.0,5.135951713168651,100.0,28.143712574850298,1,2
90.0,V2I,0.5,0.0,1.0,6.533192175345832,100.0,28.235294117647058,1,2
92.0,V2I,0.5,0.0,1.0,28.760022534111876,100.0,28.735632183908045,2,2
93.0,V2I,0.0,100.0,1.0,24.159006602093555,100.0,28.97727272727273,0,2
94.0,V2I,0.5,0.0,1.0,35.95101667547109,100.0,29.213483146067414,1,2
97.0,V2I,0.5,0.0,1.0,67.53009995550131,100.0,28.804347826086957,1,2
98.0,V2I,0.5,0.0,1.0,81.32088214606064,100.0,29.56989247311828,2,2
99.0,V2I,0.0,100.0,1.0,54.19714106851024,100.0,29.78723404255319,0,2
103.0,V2I,0.75,0.0,1.0,89.28013720867594,100.0,29.081632653061224,1,2
106.0,V2I,0.5,0.0,1.0,47.24752268638007,100.0,28.71287128712871,1,2
107.0,V2I,0.5,0.0,1.0,38.997918021339956,100.0,29.411764705882355,2,2
112.0,V2I,0.0,100.0,1.0,17.123215235463228,100.0,28.504672897196258,0,2
114.0,V2I,0.5,0.0,1.0,15.35349145959967,100.0,28.440366972477065,1,2
116.0,V2I,0.5,0.0,1.0,15.20224325551989,100.0,28.37837837837838,1,2
