Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
0.0,V2V,0.1,0.0,1.0,0.0,100.0,100.0,1,1
1.0,V2V,0.1,0.0,1.0,0.36999999999999034,100.0,100.0,1,1
3.0,V2V,0.15000000000000002,0.0,1.0,0.480000000000004,100.0,75.0,1,1
4.0,V2V,0.1,0.0,1.0,0.3400000000000034,100.0,80.0,1,1
6.0,V2V,0.1,0.0,1.0,0.4100000000000108,100.0,71.42857142857143,1,1
8.0,V2V,0.0,100.0,1.0,0.9899999999999949,100.0,66.66666666666666,0,1
10.0,V2V,0.125,0.0,1.0,0.870000000000001,100.0,66.66666666666666,2,2
11.0,V2V,0.1,0.0,1.0,0.27000000000001023,100.0,61.53846153846154,1,2
12.0,V2V,0.125,0.0,1.0,1.2250000000000014,100.0,66.66666666666666,2,2
13.0,V2V,0.1,0.0,1.0,1.5749999999999993,100.0,70.58823529411765,2,2
14.0,V2V,0.1,0.0,1.0,1.7800000000000011,100.0,73.68421052631578,2,2
15.0,V2V,0.1,0.0,1.0,4.038143137631451,100.0,71.42857142857143,1,2
16.0,V2V,0.1,0.0,1.0,4.625256749630228,100.0,69.56521739130434,1,2
17.0,V2V,0.1,0.0,1.0,0.04999999999999716,100.0,68.0,1,2
18.0,V2V,0.15000000000000002,0.0,1.0,4.230011820314455,100.0,66.66666666666666,1,2
19.0,V2V,0.1,50.0,1.0,1.755008650493138,100.0,68.96551724137932,1,2
20.0,V2V,0.1,0.0,1.0,0.22999999999999954,100.0,67.74193548387096,1,2
21.0,V2V,0.1,0.0,1.0,0.7355270219373321,100.0,66.66666666666666,1,2
23.0,V2V,0.1,0.0,1.0,0.3041381265149107,100.0,62.16216216216216,1,2
27.0,V2V,0.1,0.0,1.0,1.464999999999998,100.0,55.55555555555556,2,2
28.0,V2V,0.1,0.0,1.0,1.3699999999999974,100.0,55.319148936170215,1,2
29.0,V2V,0.1,0.0,1.0,0.5500000000000043,100.0,55.10204081632652,1,2
30.0,V2V,0.1,50.0,1.0,0.5349999999999966,100.0,56.86274509803921,1,2
31.0,V2V,0.125,0.0,1.0,0.4549999999999983,100.0,58.490566037735846,2,2
33.0,V2V,0.1,0.0,1.0,1.348877916321599,100.0,57.89473684210527,2,2
34.0,V2V,0.15000000000000002,0.0,1.0,2.4438698819699876,100.0,57.6271186440678,1,2
35.0,V2V,0.1,0.0,1.0,1.0153008421240908,100.0,59.01639344262295,2,2
36.0,V2V,0.1,0.0,1.0,1.5350000000000037,100.0,60.317460317460316,2,2
37.0,V2V,0.1,0.0,1.0,1.520000000000005,100.0,61.53846153846154,2,2
38.0,V2V,0.1,0.0,1.0,2.0950000000000024,100.0,62.68656716417911,2,2
39.0,V2V,0.1,0.0,1.0,0.9500000000000002,100.0,63.76811594202898,2,2
40.0,V2V,0.15000000000000002,0.0,1.0,0.44999999999998863,100.0,63.38028169014085,1,2
41.0,V2V,0.1,0.0,1.0,0.07000000000000739,100.0,63.013698630136986,1,2
42.0,V2V,0.1,0.0,1.0,0.9450000000000003,100.0,64.0,2,2
43.0,V2V,0.15000000000000002,50.0,1.0,0.6538646504963983,100.0,64.93506493506493,1,2
44.0,V2V,0.1,0.0,1.0,0.1700000000000017,100.0,64.55696202531645,1,2
45.0,V2V,0.1,0.0,1.0,1.9138007490635116,100.0,65.4320987654321,2,2
46.0,V2V,0.1,0.0,1.0,2.046864249094524,100.0,66.26506024096386,2,2
47.0,V2V,0.1,0.0,1.0,3.9761287705505715,100.0,65.88235294117646,1,2
48.0,V2V,0.1,0.0,1.0,2.7176283748151153,100.0,66.66666666666666,2,2
49.0,V2V,0.0,100.0,1.0,0.509999999999998,100.0,66.29213483146067,0,2
50.0,V2V,0.1,0.0,1.0,0.33999999999999986,100.0,67.03296703296702,2,2
53.0,V2V,0.1,0.0,1.0,1.3549999999999969,100.0,64.94845360824742,2,2
54.0,V2V,0.1,0.0,1.0,1.8050000000000015,100.0,65.65656565656566,2,2
55.0,V2V,0.1,0.0,1.0,1.8399999999999999,100.0,65.34653465346535,1,2
56.0,V2V,0.15000000000000002,50.0,1.0,1.7899999999999965,100.0,66.01941747572816,1,2
57.0,V2V,0.0,100.0,1.0,2.0600000000000023,100.0,65.71428571428571,0,2
58.0,V2V,0.1,0.0,1.0,0.9149999999999969,100.0,66.35514018691589,2,2
59.0,V2V,0.1,0.0,1.0,0.5600000000000012,100.0,66.97247706422019,2,2
60.0,V2V,0.1,0.0,1.0,0.8249999999999993,100.0,67.56756756756756,2,2
61.0,V2V,0.1,0.0,1.0,0.9100000000000001,100.0,68.14159292035397,2,2
62.0,V2V,0.1,0.0,1.0,1.6000000000000014,100.0,68.69565217391305,2,2
63.0,V2V,0.1,0.0,1.0,2.0799999999999947,100.0,69.23076923076923,2,2
64.0,V2V,0.1,0.0,1.0,3.6899999999999977,100.0,68.90756302521008,1,2
65.0,V2V,0.1,0.0,1.0,2.765000000000006,100.0,69.42148760330579,2,2
66.0,V2V,0.1,0.0,1.0,2.530000000000003,100.0,69.91869918699187,2,2
67.0,V2V,0.125,0.0,1.0,2.365000000000002,100.0,70.39999999999999,2,2
68.0,V2V,0.1,0.0,1.0,2.5049999999999955,100.0,70.86614173228347,2,2
69.0,V2V,0.1,50.0,1.0,2.6450000000000005,100.0,71.31782945736434,1,2
70.0,V2V,0.1,0.0,1.0,1.5400324671902277,100.0,70.99236641221374,1,2
71.0,V2V,0.1,0.0,1.0,0.9677293009927932,100.0,70.67669172932331,1,2
72.0,V2V,0.1,0.0,1.0,3.569999999999993,100.0,70.37037037037037,1,2
73.0,V2V,0.125,0.0,1.0,4.098446048578224,100.0,70.8029197080292,2,2
74.0,V2V,0.1,0.0,1.0,5.4419429464123965,100.0,71.22302158273382,2,2
75.0,V2V,0.15000000000000002,0.0,1.0,9.710005149329229,100.0,70.92198581560284,1,2
76.0,V2V,0.1,0.0,1.0,11.650004291844702,100.0,70.62937062937063,1,2
77.0,V2V,0.1,0.0,1.0,7.385001931993528,100.0,71.03448275862068,2,2
78.0,V2V,0.1,0.0,1.0,9.500005263156437,100.0,70.74829931972789,1,2
79.0,V2V,0.1,0.0,1.0,3.4850044722683373,100.0,71.14093959731544,2,2
80.0,V2V,0.1,0.0,1.0,2.0300000000000002,100.0,71.52317880794702,2,2
81.0,V2V,0.1,50.0,1.0,0.3500000000000023,100.0,71.89542483660131,1,2
82.0,V2V,0.1,0.0,1.0,0.009999999999999787,100.0,71.61290322580646,1,2
83.0,V2V,0.15000000000000002,0.0,1.0,0.0,100.0,71.3375796178344,1,2
84.0,V2V,0.1,0.0,1.0,0.0,100.0,71.0691823899371,1,2
85.0,V2V,0.1,0.0,1.0,0.24500000000000455,100.0,71.42857142857143,2,2
86.0,V2V,0.125,0.0,1.0,0.4750000000000014,100.0,71.77914110429448,2,2
87.0,V2V,0.1,0.0,1.0,0.6908318915758485,100.0,72.12121212121212,2,2
88.0,V2V,0.1,0.0,1.0,1.6600000000000108,100.0,71.8562874251497,1,2
89.0,V2V,0.1,0.0,1.0,2.458618886372105,100.0,72.02380952380952,2,2
90.0,V2V,0.1,0.0,1.0,2.380000000000002,100.0,71.76470588235294,1,2
91.0,V2V,0.1,0.0,1.0,3.689068599280539,100.0,72.09302325581395,2,2
93.0,V2V,0.1,0.0,1.0,2.379999999999999,100.0,71.02272727272727,1,2
94.0,V2V,0.1,0.0,1.0,1.3399999999999963,100.0,70.78651685393258,1,2
95.0,V2V,0.125,0.0,1.0,2.9449999999999985,100.0,71.11111111111111,2,2
96.0,V2V,0.1,0.0,1.0,2.1008569680013918,100.0,71.42857142857143,2,2
97.0,V2V,0.1,0.0,1.0,2.5865227623200946,100.0,71.19565217391305,1,2
99.0,V2V,0.1,0.0,1.0,2.5865227623200946,100.0,70.2127659574468,1,2
100.0,V2V,0.1,50.0,1.0,1.050761628534274,100.0,70.52631578947368,1,2
101.0,V2V,0.1,0.0,1.0,1.1850119046944234,100.0,70.83333333333334,2,2
102.0,V2V,0.1,0.0,1.0,1.516232183435611,100.0,71.1340206185567,2,2
103.0,V2V,0.1,0.0,1.0,2.109502310972899,100.0,70.91836734693877,1,2
104.0,V2V,0.1,0.0,1.0,2.402330746486105,100.0,71.21212121212122,2,2
105.0,V2V,0.1,0.0,1.0,3.125761628534277,100.0,71.5,2,2
106.0,V2V,0.15000000000000002,0.0,1.0,3.9761287705505715,100.0,71.28712871287128,1,2
108.0,V2V,0.1,50.0,1.0,2.8849810073572772,100.0,70.87378640776699,1,2
109.0,V2V,0.1,0.0,1.0,2.1309638433362017,100.0,71.15384615384616,2,2
110.0,V2V,0.125,0.0,1.0,1.332338099273101,100.0,71.42857142857143,2,2
111.0,V2V,0.1,0.0,1.0,0.6649999999999991,100.0,71.69811320754717,2,2
112.0,V2V,0.1,0.0,1.0,2.3434163095788163,100.0,71.49532710280374,1,2
113.0,V2V,0.1,0.0,1.0,0.837069063257454,100.0,71.75925925925925,2,2
114.0,V2V,0.0,100.0,1.0,0.5500000000000043,100.0,71.55963302752293,0,2
115.0,V2V,0.1,0.0,1.0,0.6130277563773223,100.0,71.81818181818181,2,2
116.0,V2V,0.1,0.0,1.0,1.4000000000000057,100.0,71.62162162162163,1,2
117.0,V2V,0.1,0.0,1.0,0.75,100.0,71.875,2,2
118.0,V2V,0.1,0.0,1.0,0.0,100.0,72.0,1,1
119.0,V2V,0.1,0.0,1.0,1.0806016842481785,100.0,72.12389380530973,1,1
120.0,V2V,0.15000000000000002,0.0,1.0,2.22,100.0,72.24669603524228,1,1
121.0,V2V,0.1,0.0,1.0,1.7200000000000006,100.0,72.36842105263158,1,1
122.0,V2V,0.1,0.0,1.0,2.2926840166058637,100.0,72.48908296943232,1,1
123.0,V2V,0.1,0.0,1.0,2.2699999999999996,100.0,72.60869565217392,1,1
124.0,V2V,0.1,0.0,1.0,2.240000000000002,100.0,72.72727272727273,1,1
125.0,V2V,0.0,100.0,1.0,2.475095957735782,100.0,72.84482758620689,0,1
126.0,V2V,0.1,0.0,1.0,2.1456001491424255,100.0,72.96137339055794,1,1
127.0,V2V,0.0,100.0,1.0,2.670674072214723,100.0,73.07692307692307,0,1
128.0,V2V,0.15000000000000002,0.0,1.0,2.380000000000002,100.0,73.19148936170212,1,1
