Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
0.0,V2V,0.1,50.0,1.0,0.5349999999999966,100.0,100.0,1,2
1.0,V2V,0.1,50.0,1.0,0.7199999999999918,100.0,100.0,1,2
2.0,V2V,0.125,0.0,1.0,0.9600000000000009,100.0,100.0,2,2
3.0,V2V,0.1,0.0,1.0,1.1700000000000017,100.0,50.0,1,2
3.0,V2I,0.75,0.0,1.0,88.69195059304987,100.0,50.0,1,2
4.0,V2V,0.1,0.0,1.0,1.150043477438997,100.0,50.0,1,2
4.0,V2I,0.75,0.0,1.0,85.64079693697391,100.0,50.0,1,2
5.0,V2V,0.10000000000000002,0.0,1.0,0.8666666666666648,100.0,50.0,3,4
5.0,V2I,0.5,0.0,1.0,81.47373810007737,100.0,50.0,1,4
6.0,V2V,0.1,33.33333333333333,1.0,0.923333333333332,100.0,55.55555555555556,2,4
6.0,V2I,0.5,0.0,1.0,76.55060025891372,100.0,44.44444444444444,1,4
7.0,V2V,0.10000000000000002,0.0,1.0,0.9400000000000025,100.0,54.54545454545454,3,4
7.0,V2I,0.5,0.0,1.0,71.23105291935534,100.0,45.45454545454545,1,4
8.0,V2V,0.11666666666666668,0.0,1.0,0.9166666666666666,100.0,57.14285714285714,3,4
8.0,V2I,0.5,0.0,1.0,65.68690889362962,100.0,42.857142857142854,1,4
9.0,V2V,0.10000000000000002,0.0,1.0,0.826666666666668,100.0,56.25,3,4
9.0,V2I,0.75,0.0,1.0,60.25674153154982,100.0,43.75,1,4
10.0,V2V,0.09999999999999999,0.0,1.0,0.6149999999999997,100.0,60.0,6,7
10.0,V2I,0.5,0.0,1.0,54.94414982507237,100.0,40.0,1,7
11.0,V2V,0.1,20.0,1.0,0.5654873129523564,100.0,60.0,4,7
11.0,V2I,0.5,0.0,1.0,66.65780413964639,100.0,40.0,2,7
12.0,V2V,0.1,16.666666666666664,1.0,0.8416666666666662,100.0,60.71428571428571,5,7
12.0,V2I,0.5,0.0,1.0,44.27903002550981,100.0,39.285714285714285,1,7
13.0,V2V,0.10999999999999999,16.666666666666664,1.0,0.8800175367106959,100.0,62.5,5,7
13.0,V2I,0.5,0.0,1.0,89.7254974909585,100.0,37.5,1,7
14.0,V2V,0.125,0.0,1.0,0.5999999999999979,100.0,58.333333333333336,4,7
14.0,V2I,0.5,0.0,1.0,83.3801297091698,100.0,41.66666666666667,3,7
15.0,V2V,0.11000000000000001,16.666666666666664,1.0,0.7994105383587339,100.0,60.97560975609756,5,7
15.0,V2I,0.5,0.0,1.0,86.9079472775649,100.0,39.02439024390244,1,7
16.0,V2V,0.1,0.0,1.0,0.6508220145836958,100.0,58.69565217391305,4,7
16.0,V2I,0.5,0.0,1.0,84.01153989428725,100.0,41.30434782608695,3,7
17.0,V2V,0.11000000000000001,0.0,1.0,0.6440077518215308,100.0,60.37735849056604,5,7
17.0,V2I,0.5,0.0,1.0,86.52240549925958,100.0,39.62264150943396,2,7
18.0,V2V,0.1,0.0,1.0,0.6754526173611786,100.0,61.66666666666667,5,7
18.0,V2I,0.5,0.0,1.0,51.09487352994993,100.0,38.333333333333336,2,7
19.0,V2V,0.10000000000000002,25.0,1.0,0.6650000000000005,100.0,60.60606060606061,3,7
19.0,V2I,0.5833333333333334,0.0,1.0,81.31480226829574,100.0,39.39393939393939,3,7
20.0,V2V,0.11000000000000001,16.666666666666664,1.0,0.5550000000000028,100.0,61.64383561643836,5,8
20.0,V2I,0.625,0.0,1.0,75.97869975933736,100.0,38.35616438356164,2,8
21.0,V2V,0.10714285714285714,0.0,1.0,0.7430032907365104,100.0,63.74999999999999,7,8
21.0,V2I,0.0,100.0,1.0,69.77400232178171,100.0,36.25,0,8
22.0,V2V,0.10833333333333332,0.0,1.0,0.5535287379477033,100.0,64.36781609195403,6,8
22.0,V2I,0.5,0.0,1.0,73.13569965999369,100.0,35.63218390804598,2,8
23.0,V2V,0.09999999999999999,0.0,1.0,0.7575218377030221,100.0,65.26315789473685,6,8
23.0,V2I,0.625,0.0,1.0,48.634844668020264,100.0,34.73684210526316,2,8
24.0,V2V,0.10000000000000002,25.0,1.0,0.6025122546075019,100.0,63.725490196078425,3,8
24.0,V2I,0.5,25.0,1.0,45.90479113167656,100.0,36.27450980392157,3,8
25.0,V2V,0.09999999999999999,0.0,1.0,0.6721231691512968,100.0,66.96428571428571,10,10
26.0,V2V,0.11000000000000001,28.57142857142857,1.0,0.7065779772390915,100.0,67.21311475409836,5,10
26.0,V2I,0.75,33.33333333333333,1.0,62.04524485250871,100.0,32.78688524590164,2,10
27.0,V2V,0.10555555555555556,0.0,1.0,0.898531985641653,100.0,68.93939393939394,9,10
27.0,V2I,0.5,0.0,1.0,81.25315747710977,100.0,31.060606060606062,1,10
28.0,V2V,0.11250000000000002,33.33333333333333,1.0,0.8566735536014113,100.0,68.30985915492957,4,10
28.0,V2I,0.5,0.0,1.0,61.10193476080347,100.0,31.690140845070424,4,10
29.0,V2V,0.10000000000000002,25.0,1.0,1.370000000000001,100.0,66.44736842105263,3,10
29.0,V2I,0.5833333333333334,0.0,1.0,66.16651686087329,100.0,33.55263157894737,6,10
30.0,V2V,0.10624999999999998,11.11111111111111,1.0,1.1265499093991598,100.0,66.87116564417178,8,12
30.0,V2I,0.5,0.0,1.0,85.41711553101067,100.0,33.12883435582822,3,12
31.0,V2V,0.10499999999999998,0.0,1.0,0.7453421770389722,100.0,68.0,10,12
31.0,V2I,0.5,0.0,1.0,61.04234582785116,100.0,32.0,2,12
32.0,V2V,0.10555555555555556,0.0,1.0,1.193788841472769,100.0,68.27956989247312,9,12
32.0,V2I,0.5,0.0,1.0,68.84847447988248,100.0,31.72043010752688,3,12
33.0,V2V,0.10555555555555554,0.0,1.0,0.7873925871429128,100.0,69.03553299492386,9,11
33.0,V2I,0.625,0.0,1.0,48.68854077912789,100.0,30.96446700507614,2,11
34.0,V2V,0.10999999999999999,16.666666666666664,1.0,1.3757333957552917,100.0,68.26923076923077,5,11
34.0,V2I,0.55,0.0,1.0,73.5658356765769,100.0,31.73076923076923,5,11
35.0,V2V,0.09999999999999999,0.0,1.0,0.8465184174820672,100.0,69.0909090909091,10,12
35.0,V2I,0.5,0.0,1.0,59.33071882429795,100.0,30.909090909090907,2,12
36.0,V2V,0.11250000000000002,33.33333333333333,1.0,0.8675888922966335,100.0,67.96536796536796,4,12
36.0,V2I,0.5416666666666666,0.0,1.0,48.27740612831235,100.0,32.03463203463203,6,12
37.0,V2V,0.09999999999999999,0.0,1.0,0.843966846891312,100.0,68.59504132231406,10,12
37.0,V2I,0.625,0.0,1.0,58.585157614701885,100.0,31.40495867768595,2,12
38.0,V2V,0.10500000000000001,0.0,1.0,0.9823417889484347,100.0,69.1699604743083,10,12
38.0,V2I,0.5,0.0,1.0,35.60010735689168,100.0,30.8300395256917,2,12
39.0,V2V,0.09999999999999999,22.22222222222222,1.0,0.973341853597984,100.0,69.6969696969697,7,11
39.0,V2I,0.5,50.0,1.0,63.46909041958725,100.0,30.303030303030305,1,11
40.0,V2V,0.1111111111111111,0.0,1.0,0.7590724870796173,100.0,69.92753623188406,9,12
40.0,V2I,0.5,0.0,1.0,63.4414072138012,100.0,30.07246376811594,3,12
41.0,V2V,0.11499999999999999,0.0,1.0,0.767500682935926,100.0,70.48611111111111,10,12
41.0,V2I,0.5,0.0,1.0,53.59207350212061,100.0,29.51388888888889,2,12
42.0,V2V,0.09999999999999999,0.0,1.0,1.0505496749631296,100.0,70.66666666666667,9,12
42.0,V2I,0.5833333333333334,0.0,1.0,43.351827651820656,100.0,29.333333333333332,3,12
43.0,V2V,0.09999999999999999,14.285714285714285,1.0,0.7608144208397086,100.0,70.41800643086816,6,11
43.0,V2I,0.5,0.0,1.0,42.338362744649174,100.0,29.581993569131832,4,11
44.0,V2V,0.10833333333333334,14.285714285714285,1.0,0.9402408467156255,100.0,70.1863354037267,6,11
44.0,V2I,0.5,0.0,1.0,48.804097066348106,100.0,29.81366459627329,4,11
45.0,V2V,0.10000000000000002,40.0,1.0,0.8633408294003168,100.0,69.36936936936937,3,11
45.0,V2I,0.5,0.0,1.0,63.43754898482945,100.0,30.630630630630627,6,11
46.0,V2V,0.1,33.33333333333333,1.0,1.2660218126932923,100.0,68.02325581395348,2,11
46.0,V2I,0.5625,0.0,1.0,56.682785580250986,100.0,31.976744186046513,8,11
47.0,V2V,0.1,20.0,1.0,1.1046483789526,100.0,67.42209631728045,4,10
47.0,V2I,0.55,0.0,1.0,46.43371852074883,100.0,32.577903682719544,5,10
48.0,V2V,0.10000000000000002,25.0,1.0,0.7625000000000011,100.0,66.85082872928176,3,9
48.0,V2I,0.5,0.0,1.0,49.95747418590516,100.0,33.14917127071823,5,9
49.0,V2V,0.10714285714285712,0.0,1.0,0.8681360368647422,100.0,67.11590296495957,7,9
49.0,V2I,0.5,0.0,1.0,45.5934303872182,100.0,32.88409703504043,2,9
50.0,V2V,0.10555555555555554,0.0,1.0,0.7573647620635892,100.0,67.5392670157068,9,11
