Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%),Success Count,Total Communications
3.0,V2I,0.75,0.0,1.0,88.69195059304987,100.0,50.0,1,2
4.0,V2I,0.75,0.0,1.0,85.64079693697391,100.0,50.0,1,2
5.0,V2I,0.5,0.0,1.0,81.47373810007737,100.0,50.0,1,4
6.0,V2I,0.5,0.0,1.0,76.55060025891372,100.0,44.44444444444444,1,4
7.0,V2I,0.5,0.0,1.0,71.23105291935534,100.0,45.45454545454545,1,4
8.0,V2I,0.5,0.0,1.0,65.68690889362962,100.0,42.857142857142854,1,4
9.0,V2I,0.75,0.0,1.0,60.25674153154982,100.0,43.75,1,4
10.0,V2I,0.5,0.0,1.0,54.94414982507237,100.0,40.0,1,7
11.0,V2I,0.5,0.0,1.0,66.65780413964639,100.0,40.0,2,7
12.0,V2I,0.5,0.0,1.0,44.27903002550981,100.0,39.285714285714285,1,7
13.0,V2I,0.5,0.0,1.0,89.7254974909585,100.0,37.5,1,7
14.0,V2I,0.5,0.0,1.0,83.3801297091698,100.0,41.66666666666667,3,7
15.0,V2I,0.5,0.0,1.0,86.9079472775649,100.0,39.02439024390244,1,7
16.0,V2I,0.5,0.0,1.0,84.01153989428725,100.0,41.30434782608695,3,7
17.0,V2I,0.5,0.0,1.0,86.52240549925958,100.0,39.62264150943396,2,7
18.0,V2I,0.5,0.0,1.0,51.09487352994993,100.0,38.333333333333336,2,7
19.0,V2I,0.5833333333333334,0.0,1.0,81.31480226829574,100.0,39.39393939393939,3,7
20.0,V2I,0.625,0.0,1.0,75.97869975933736,100.0,38.35616438356164,2,8
21.0,V2I,0.0,100.0,1.0,69.77400232178171,100.0,36.25,0,8
22.0,V2I,0.5,0.0,1.0,73.13569965999369,100.0,35.63218390804598,2,8
23.0,V2I,0.625,0.0,1.0,48.634844668020264,100.0,34.73684210526316,2,8
24.0,V2I,0.5,25.0,1.0,45.90479113167656,100.0,36.27450980392157,3,8
26.0,V2I,0.75,33.33333333333333,1.0,62.04524485250871,100.0,32.78688524590164,2,10
27.0,V2I,0.5,0.0,1.0,81.25315747710977,100.0,31.060606060606062,1,10
28.0,V2I,0.5,0.0,1.0,61.10193476080347,100.0,31.690140845070424,4,10
29.0,V2I,0.5833333333333334,0.0,1.0,66.16651686087329,100.0,33.55263157894737,6,10
30.0,V2I,0.5,0.0,1.0,85.41711553101067,100.0,33.12883435582822,3,12
31.0,V2I,0.5,0.0,1.0,61.04234582785116,100.0,32.0,2,12
32.0,V2I,0.5,0.0,1.0,68.84847447988248,100.0,31.72043010752688,3,12
33.0,V2I,0.625,0.0,1.0,48.68854077912789,100.0,30.96446700507614,2,11
34.0,V2I,0.55,0.0,1.0,73.5658356765769,100.0,31.73076923076923,5,11
35.0,V2I,0.5,0.0,1.0,59.33071882429795,100.0,30.909090909090907,2,12
36.0,V2I,0.5416666666666666,0.0,1.0,48.27740612831235,100.0,32.03463203463203,6,12
37.0,V2I,0.625,0.0,1.0,58.585157614701885,100.0,31.40495867768595,2,12
38.0,V2I,0.5,0.0,1.0,35.60010735689168,100.0,30.8300395256917,2,12
39.0,V2I,0.5,50.0,1.0,63.46909041958725,100.0,30.303030303030305,1,11
40.0,V2I,0.5,0.0,1.0,63.4414072138012,100.0,30.07246376811594,3,12
41.0,V2I,0.5,0.0,1.0,53.59207350212061,100.0,29.51388888888889,2,12
42.0,V2I,0.5833333333333334,0.0,1.0,43.351827651820656,100.0,29.333333333333332,3,12
43.0,V2I,0.5,0.0,1.0,42.338362744649174,100.0,29.581993569131832,4,11
44.0,V2I,0.5,0.0,1.0,48.804097066348106,100.0,29.81366459627329,4,11
