vehicle/0/_id,vehicle/0/_x,vehicle/0/_y,vehicle/0/_angle,vehicle/0/_type,vehicle/0/_speed,vehicle/0/_pos,vehicle/0/_lane,vehicle/0/_slope,person/0/_id,person/0/_x,person/0/_y,person/0/_angle,person/0/_speed,person/0/_pos,person/0/_edge,person/0/_slope,person/0/_type,_time,vehicle/1/_id,vehicle/1/_x,vehicle/1/_y,vehicle/1/_angle,vehicle/1/_type,vehicle/1/_speed,vehicle/1/_pos,vehicle/1/_lane,vehicle/1/_slope,person/1/_id,person/1/_x,person/1/_y,person/1/_angle,person/1/_speed,person/1/_pos,person/1/_edge,person/1/_slope,person/1/_type,person/2/_id,person/2/_x,person/2/_y,person/2/_angle,person/2/_speed,person/2/_pos,person/2/_edge,person/2/_slope,person/2/_type,person/3/_id,person/3/_x,person/3/_y,person/3/_angle,person/3/_speed,person/3/_pos,person/3/_edge,person/3/_slope,person/3/_type,person/4/_id,person/4/_x,person/4/_y,person/4/_angle,person/4/_speed,person/4/_pos,person/4/_edge,person/4/_slope,person/4/_type,person/5/_id,person/5/_x,person/5/_y,person/5/_angle,person/5/_speed,person/5/_pos,person/5/_edge,person/5/_slope,person/5/_type,person/6/_id,person/6/_x,person/6/_y,person/6/_angle,person/6/_speed,person/6/_pos,person/6/_edge,person/6/_slope,person/6/_type,person/7/_id,person/7/_x,person/7/_y,person/7/_angle,person/7/_speed,person/7/_pos,person/7/_edge,person/7/_slope,person/7/_type,person/8/_id,person/8/_x,person/8/_y,person/8/_angle,person/8/_speed,person/8/_pos,person/8/_edge,person/8/_slope,person/8/_type,person/9/_id,person/9/_x,person/9/_y,person/9/_angle,person/9/_speed,person/9/_pos,person/9/_edge,person/9/_slope,person/9/_type,person/10/_id,person/10/_x,person/10/_y,person/10/_angle,person/10/_speed,person/10/_pos,person/10/_edge,person/10/_slope,person/10/_type,person/11/_id,person/11/_x,person/11/_y,person/11/_angle,person/11/_speed,person/11/_pos,person/11/_edge,person/11/_slope,person/11/_type,person/12/_id,person/12/_x,person/12/_y,person/12/_angle,person/12/_speed,person/12/_pos,person/12/_edge,person/12/_slope,person/12/_type,person/13/_id,person/13/_x,person/13/_y,person/13/_angle,person/13/_speed,person/13/_pos,person/13/_edge,person/13/_slope,person/13/_type,person/14/_id,person/14/_x,person/14/_y,person/14/_angle,person/14/_speed,person/14/_pos,person/14/_edge,person/14/_slope,person/14/_type,vehicle/2/_id,vehicle/2/_x,vehicle/2/_y,vehicle/2/_angle,vehicle/2/_type,vehicle/2/_speed,vehicle/2/_pos,vehicle/2/_lane,vehicle/2/_slope,person/15/_id,person/15/_x,person/15/_y,person/15/_angle,person/15/_speed,person/15/_pos,person/15/_edge,person/15/_slope,person/15/_type,person/16/_id,person/16/_x,person/16/_y,person/16/_angle,person/16/_speed,person/16/_pos,person/16/_edge,person/16/_slope,person/16/_type
f_0.0,-57.82,0.12,89.85,DEFAULT_VEHTYPE,0.00,5.10,E0_1,0.00,pf_0.0,-62.92,-3.09,89.85,0.00,0.00,E0,0.00,DEFAULT_PEDTYPE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-56.46,0.13,89.85,DEFAULT_VEHTYPE,1.36,6.46,E0_1,0.00,pf_0.0,-61.71,-3.09,89.85,1.21,1.21,E0,0.00,DEFAULT_PEDTYPE,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-53.60,0.13,89.85,DEFAULT_VEHTYPE,2.86,9.32,E0_1,0.00,pf_0.0,-60.45,-3.08,89.85,1.26,2.47,E0,0.00,DEFAULT_PEDTYPE,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-49.28,0.15,89.85,DEFAULT_VEHTYPE,4.32,13.64,E0_1,0.00,pf_0.0,-58.99,-3.08,89.85,1.46,3.93,E0,0.00,DEFAULT_PEDTYPE,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-42.41,0.16,89.85,DEFAULT_VEHTYPE,6.87,20.51,E0_1,0.00,pf_0.0,-57.66,-3.08,89.85,1.33,5.26,E0,0.00,DEFAULT_PEDTYPE,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-33.48,0.19,89.85,DEFAULT_VEHTYPE,8.93,29.44,E0_1,0.00,pf_0.0,-56.36,-3.07,89.85,1.30,6.56,E0,0.00,DEFAULT_PEDTYPE,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-22.17,0.21,89.85,DEFAULT_VEHTYPE,11.31,40.75,E0_1,0.00,pf_0.0,-54.90,-3.07,89.85,1.46,8.02,E0,0.00,DEFAULT_PEDTYPE,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-15.19,0.23,89.85,DEFAULT_VEHTYPE,6.98,47.73,E0_1,0.00,pf_0.0,-53.65,-3.07,89.85,1.25,9.27,E0,0.00,DEFAULT_PEDTYPE,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,-5.78,0.26,89.84,DEFAULT_VEHTYPE,9.41,6.61,:J2_2_0,0.00,pf_0.0,-52.25,-3.06,89.85,1.40,10.67,E0,0.00,DEFAULT_PEDTYPE,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f_0.0,6.12,0.29,89.84,DEFAULT_VEHTYPE,11.90,4.11,E0.57_1,0.00,pf_0.0,-50.94,-3.06,89.85,1.31,11.98,E0,0.00,DEFAULT_PEDTYPE,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
