vehicle/0/_id,vehicle/0/_x,vehicle/0/_y,vehicle/0/_angle,vehicle/0/_type,vehicle/0/_speed,vehicle/0/_pos,vehicle/0/_lane,vehicle/0/_slope,person/0/_id,person/0/_x,person/0/_y,person/0/_angle,person/0/_speed,person/0/_pos,person/0/_edge,person/0/_slope,person/0/_type,container/_id,container/_x,container/_y,container/_angle,container/_speed,container/_pos,container/_edge,container/_slope,container/_type,_time,person/1/_id,person/1/_x,person/1/_y,person/1/_angle,person/1/_speed,person/1/_pos,person/1/_edge,person/1/_slope,person/1/_type,person/2/_id,person/2/_x,person/2/_y,person/2/_angle,person/2/_speed,person/2/_pos,person/2/_edge,person/2/_slope,person/2/_type,vehicle/1/_id,vehicle/1/_x,vehicle/1/_y,vehicle/1/_angle,vehicle/1/_type,vehicle/1/_speed,vehicle/1/_pos,vehicle/1/_lane,vehicle/1/_slope,person/3/_id,person/3/_x,person/3/_y,person/3/_angle,person/3/_speed,person/3/_pos,person/3/_edge,person/3/_slope,person/3/_type,person/4/_id,person/4/_x,person/4/_y,person/4/_angle,person/4/_speed,person/4/_pos,person/4/_edge,person/4/_slope,person/4/_type,person/5/_id,person/5/_x,person/5/_y,person/5/_angle,person/5/_speed,person/5/_pos,person/5/_edge,person/5/_slope,person/5/_type,vehicle/2/_id,vehicle/2/_x,vehicle/2/_y,vehicle/2/_angle,vehicle/2/_type,vehicle/2/_speed,vehicle/2/_pos,vehicle/2/_lane,vehicle/2/_slope,vehicle/3/_id,vehicle/3/_x,vehicle/3/_y,vehicle/3/_angle,vehicle/3/_type,vehicle/3/_speed,vehicle/3/_pos,vehicle/3/_lane,vehicle/3/_slope,vehicle/4/_id,vehicle/4/_x,vehicle/4/_y,vehicle/4/_angle,vehicle/4/_type,vehicle/4/_speed,vehicle/4/_pos,vehicle/4/_lane,vehicle/4/_slope,vehicle/5/_id,vehicle/5/_x,vehicle/5/_y,vehicle/5/_angle,vehicle/5/_type,vehicle/5/_speed,vehicle/5/_pos,vehicle/5/_lane,vehicle/5/_slope,vehicle/6/_id,vehicle/6/_x,vehicle/6/_y,vehicle/6/_angle,vehicle/6/_type,vehicle/6/_speed,vehicle/6/_pos,vehicle/6/_lane,vehicle/6/_slope
t_0,-98.30,-3.70,90.00,DEFAULT_BIKETYPE,0.00,1.70,-E2_1,0.00,p_0,-3.52,-100.00,0.06,0.00,92.29,E00,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-97.66,-3.70,90.00,DEFAULT_BIKETYPE,0.64,2.34,-E2_1,0.00,p_0,-3.52,-98.93,0.06,1.07,91.22,E00,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-96.42,-3.70,90.00,DEFAULT_BIKETYPE,1.25,3.58,-E2_1,0.00,p_0,-3.52,-97.81,0.06,1.12,90.10,E00,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-94.50,-3.70,90.00,DEFAULT_BIKETYPE,1.91,5.50,-E2_1,0.00,p_0,-3.52,-96.52,0.06,1.29,88.81,E00,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-91.42,-3.70,90.00,DEFAULT_BIKETYPE,3.09,8.58,-E2_1,0.00,p_0,-3.52,-95.35,0.06,1.18,87.64,E00,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-87.21,-3.70,90.00,DEFAULT_BIKETYPE,4.21,12.79,-E2_1,0.00,p_2,-4.80,100.00,179.94,0.00,0.00,E0,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,5.00,p_0,-3.51,-94.20,0.06,1.15,86.49,E00,0.00,DEFAULT_PEDTYPE,p_1,100.00,-4.52,270.00,0.00,93.21,E1,0.00,DEFAULT_PEDTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-82.23,-3.70,90.00,DEFAULT_BIKETYPE,4.99,17.77,-E2_1,0.00,p_2,-4.80,98.51,179.94,1.49,1.49,E0,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,6.00,p_0,-3.51,-93.09,0.06,1.11,85.38,E00,0.00,DEFAULT_PEDTYPE,p_1,98.67,-4.52,270.00,1.33,91.88,E1,0.00,DEFAULT_PEDTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-76.84,-3.70,90.00,DEFAULT_BIKETYPE,5.38,23.16,-E2_1,0.00,p_2,-4.80,97.17,179.94,1.34,2.83,E0,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,7.00,p_0,-3.51,-91.98,0.06,1.11,84.27,E00,0.00,DEFAULT_PEDTYPE,p_1,97.26,-4.52,270.00,1.40,90.47,E1,0.00,DEFAULT_PEDTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-71.21,-3.70,90.00,DEFAULT_BIKETYPE,5.64,28.79,-E2_1,0.00,p_2,-4.80,95.87,179.94,1.30,4.13,E0,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,8.00,p_0,-3.51,-90.80,0.06,1.18,83.09,E00,0.00,DEFAULT_PEDTYPE,p_1,95.99,-4.52,270.00,1.28,89.20,E1,0.00,DEFAULT_PEDTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_0,-65.68,-3.70,90.00,DEFAULT_BIKETYPE,5.53,34.32,-E2_1,0.00,p_2,-4.79,94.53,179.94,1.33,5.47,E0,0.00,DEFAULT_PEDTYPE,c_0,-6.61,8.20,180.00,0.00,0.00,E2,0.00,infra,9.00,p_0,-3.51,-89.56,0.06,1.23,81.85,E00,0.00,DEFAULT_PEDTYPE,p_1,94.60,-4.52,270.00,1.39,87.81,E1,0.00,DEFAULT_PEDTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
